label,projection_score
1,0.35334554
1,-0.04940796
0,0.26011023
0,0.07427363
0,-0.092729844
1,0.07305291
0,-0.05801909
0,-0.0066384864
0,0.07391446
0,-0.042982288
0,0.09145003
0,0.040474515
1,0.20626555
1,0.087512195
0,-0.0119330445
0,0.046668235
0,0.004489174
1,-0.048903394
0,-0.031145927
0,-0.0072654365
0,-0.02182655
1,0.10757356
1,-0.2825613
0,0.20307007
0,0.005770179
1,-0.09046478
1,0.09354133
1,-0.3075918
0,0.05631956
0,-0.1170165
0,0.0043469397
0,0.01617383
0,0.01240807
1,0.025385352
1,-0.031248763
1,0.08870441
0,-0.10645134
1,0.21040311
0,-0.12873214
0,-0.030203551
1,0.024100678
1,0.0016471483
1,0.014626437
0,0.022904336
1,0.22544384
1,-0.22710854
1,-0.016344588
0,-0.0817941
0,-0.05582215
1,-0.057821445
0,-0.045897797
0,0.07497317
0,0.06314348
0,-0.041723266
0,0.03769625
1,-0.09150734
1,-0.3784129
0,0.10334502
0,0.06426391
0,-0.070127435
1,0.0141756805
0,-0.066984765
0,-0.016025998
1,0.20175447
0,0.046388805
1,0.17434593
0,0.07706717
0,0.020196779
1,0.26934814
1,-0.08576703
1,0.03756059
0,-0.050571863
1,0.3671087
1,0.16316211
1,0.113762796
0,-0.090160005
1,-0.07896595
0,-0.10969954
0,0.14263047
1,0.19493222
0,0.08701951
0,-0.094636075
0,-0.12897784
0,-0.011310694
1,0.16379026
0,-0.06582797
1,0.016767124
1,0.25125924
1,0.11429779
0,0.14216599
0,-0.04183651
1,-0.20102802
0,-0.05705453
1,0.02083096
0,-0.025199395
1,-0.052130986
0,0.021183621
0,0.012494836
0,0.035926897
0,0.14633638
1,0.06286097
0,0.048073865
0,-0.11377305
1,-0.023993736
0,0.012657455
0,0.05235688
1,-0.03516953
1,0.0468278
1,-0.039439585
0,0.041315783
1,0.107216276
1,-0.4363963
0,0.05211489
0,0.05498633
0,0.006592498
1,-0.07756097
0,-0.049360525
0,0.041313305
1,0.0737196
1,-0.048222687
0,-0.08765314
1,0.1704452
1,-0.016170837
1,0.102670714
0,0.11145315
1,0.10142518
0,-0.077757806
0,-0.022531485
1,-0.23733543
0,0.13176139
0,0.00893936
0,0.046939056
0,-0.079445094
0,0.01693935
1,0.047496404
0,0.22684781
1,0.06519602
1,0.28683263
0,-0.10075615
1,0.1889609
1,-0.04206624
0,-0.028949087
1,0.052274875
1,0.05816823
0,0.060521103
1,0.021860374
0,0.16243708
0,0.0070446255
1,0.08942852
0,-0.2738172
1,0.12818444
0,0.10336242
0,0.12705623
1,0.1067223
0,-0.09995407
0,-0.07861457
