label,pca_x,pca_y
0,0.2574754,0.0029211193
1,0.10688931,0.34344453
1,-0.1797605,0.17121406
0,0.032120984,-0.042801663
0,0.093887165,-0.15986146
1,-0.1681942,0.099222735
0,0.08802888,-0.04076232
1,0.3132741,0.4854055
0,-0.1135048,-0.2713892
1,0.08692405,-0.39448225
0,0.02939545,0.07444562
1,0.16354533,-0.11837031
1,-0.10311741,-0.28336996
0,0.036453445,0.141451
0,-0.035307337,0.01813364
0,0.19931193,0.082997866
1,-0.102708414,0.10715573
0,-0.20618206,0.24248156
1,-0.20690997,-0.08898944
0,-0.24017668,-0.025851026
0,-0.32903308,0.25331104
0,0.06360741,0.08129235
1,0.016750224,-0.3616504
1,-0.033744644,0.3337568
0,0.052420486,0.0075437278
1,-0.30956593,0.21023299
0,0.19528602,0.010715924
1,0.20322914,-0.3284183
1,0.039830666,-0.5026045
1,-0.049529184,-0.19729035
1,-0.2999537,0.17123215
1,-0.17399344,0.053972907
1,-0.044830725,-0.15973134
0,0.0035878494,-0.027674362
1,-0.25816345,0.116468415
0,-0.23507789,-0.027474746
1,-0.03184415,0.089975774
0,-0.31405923,0.4554882
0,-0.1901955,0.29470122
0,-0.19029638,-0.02633603
1,-0.1286766,0.43175483
0,0.20174384,-0.058093324
0,-0.22423548,0.17264658
0,0.1342905,-0.11435412
1,0.08401637,-0.05640401
1,-0.3467173,0.12907478
0,0.11187883,0.052293845
1,-0.1095061,-0.22952189
0,-0.24766928,-0.0023729503
1,-0.07810487,-0.18942867
0,-0.025968842,0.017929286
0,0.06688063,0.09186061
0,-0.1484117,-0.20222302
0,-0.17631489,-0.06320508
0,-0.15099521,-0.018274024
0,0.24585098,0.1584764
0,0.07177001,0.110208236
1,0.13829315,-0.0406117
0,0.12937169,0.051321507
0,-0.13554302,-0.11551796
0,-0.1180803,0.020983733
0,0.07772663,-0.042176113
1,-0.47517344,0.39786196
0,-0.020045092,-0.19832651
0,0.16570476,0.05613772
1,0.027109921,-0.047470257
0,-0.06454234,-0.023896083
0,0.33124942,-0.09359218
1,-0.029328197,-0.008674011
1,-0.16183718,0.041664384
0,0.078659266,-0.00874491
0,0.20689131,0.05040165
1,-0.10105336,-0.54084605
0,0.12303561,0.0021628886
0,0.3481369,0.13895372
0,-0.16733904,-0.11776413
0,-0.14295907,-0.055943653
1,-0.27769285,0.10675304
1,-0.1576919,-0.309586
1,0.118540555,-0.042847663
0,-0.06753007,-0.02198641
1,-0.32339573,0.10913971
0,0.053964574,-0.03753321
1,0.14970204,0.013220027
0,0.030983452,-0.5811686
0,0.25187343,0.014851913
0,0.25024223,0.058338262
1,0.2877614,0.1921988
1,-0.028103437,0.054455414
1,-0.016609207,0.15704307
0,0.36582983,-0.052464828
1,-0.14673176,0.44866627
1,-0.05678397,0.2685976
1,-0.12461014,0.20222776
0,-0.026613856,-0.0047325343
0,0.23061287,-0.064851135
0,-0.13408035,-0.105644
1,0.040607657,-0.07448965
0,-0.17369843,0.03925144
0,-0.07327323,0.027492896
0,-0.1408554,-0.21984042
0,-0.13838196,0.06854666
0,-0.15016775,0.01585628
1,-0.4240961,0.09952173
0,-0.22237511,-0.0865331
1,-0.24087845,0.16113967
1,0.13197786,0.4743631
0,-0.04230578,-0.044284716
0,0.2357623,-0.192183
0,0.09585753,-0.10817602
0,-0.38213485,-0.35500574
0,-0.21675591,0.23182447
0,-0.1282701,-0.046312347
0,-0.3254439,-0.25567544
1,-0.1840404,-0.13908245
1,-0.3725145,0.17711587
1,-0.18351871,0.034497872
0,0.20479926,0.055367544
0,-0.12892342,0.21503994
1,-0.2402183,-0.014708221
1,-0.21194012,-0.25138324
0,-0.08837948,0.09574744
1,-0.22261354,0.11953438
1,0.046157356,0.096710935
0,-0.07340927,0.056709655
1,-0.14407112,-0.013724759
0,-0.010233082,-0.070509404
0,0.18767011,-0.025922254
1,0.09442213,0.23670007
1,-0.17940517,0.16875136
1,-0.28406355,-0.10595892
0,-0.105999336,-0.04073538
0,0.167236,-0.08768043
0,0.35762346,-0.00078363717
0,-0.15080087,0.10507077
1,-0.27007446,0.061089456
0,-0.04912263,0.12485267
0,-0.33486977,0.0332866
1,0.12711439,-0.11975758
0,-0.17129223,0.22105177
0,0.07267964,0.007389784
0,0.0056246147,0.035533153
0,-0.22549711,0.06635046
0,0.3359778,0.18140715
1,0.21581927,-0.26443952
1,-0.0323337,0.1718013
1,-0.017288338,-0.17289735
1,-0.3793462,-0.45410872
0,0.17241716,-0.494219
0,0.0777933,0.06314945
0,-0.34042493,0.11695509
1,-0.25309178,0.12063531
0,-0.19605425,0.28565502
0,0.17247398,0.24205068
0,0.15398303,-0.05805324
0,-0.25745523,-0.15077598
0,-0.123196915,-0.04965584
0,0.12941286,0.16581693
1,0.080246836,-0.108630195
1,0.0196549,-0.20212425
0,-0.24640098,-0.23028536
0,0.4353317,-0.03878534
0,0.12150459,0.10363732
1,0.23647282,0.6564383
0,-0.054008976,0.1860033
0,-0.13033089,-0.046129882
0,-0.20987393,0.10132652
1,-0.28678784,-0.072723806
1,-0.6125741,0.12581103
0,0.06863105,0.006314948
0,-0.41700202,-0.046202585
1,-0.17293674,0.042575866
1,0.3071816,-0.0022556186
1,0.20200475,0.54791814
0,-0.06338185,0.0025779307
0,-0.07507391,-0.043660954
0,-0.011732735,0.076655835
0,-0.11503798,0.11599322
0,-0.31205198,-0.008746222
1,-0.03780361,0.04576759
1,-0.07399267,-0.15360923
1,-0.4767795,-0.0356618
0,0.022316243,-0.03658603
1,0.05685084,-0.22407033
0,0.08362314,-0.0072070807
0,0.02753783,0.16890298
1,0.5428454,0.1157869
1,-0.07761288,0.42994744
1,0.2516405,0.15461665
0,0.21986192,-0.1484151
1,0.09757705,-0.0119445175
1,-0.3602836,0.46115416
1,-0.118323356,-0.049565688
0,-0.004634507,0.18331474
0,-0.11435342,0.10477156
1,0.18587227,0.2457477
0,0.07588747,0.026841328
0,0.018362753,0.18048465
0,-0.046595305,0.06825801
0,0.12896413,0.16331416
0,-0.20560779,-0.07906146
1,-0.10030779,0.025332257
1,0.0155669935,0.2927307
0,-0.16896574,-0.3639475
0,-0.14933977,-0.05823627
0,-0.16392402,-0.16584899
1,-0.1803096,-0.23757948
0,-0.09280816,0.27405578
0,0.0010974444,0.17705286
1,-0.1597455,-0.19703592
0,0.20382789,-0.16000758
1,0.25799567,0.07362233
0,0.1029014,0.07194221
0,0.07714018,0.114001855
1,0.16543597,-0.0658256
1,-0.099719584,0.1557154
1,0.6430346,0.38145268
0,-0.052982237,0.033844754
1,0.3459367,0.07845376
1,0.14117543,0.055794775
1,-0.032781143,-0.22786157
0,0.04789764,0.19583544
1,-0.21186125,0.040720493
0,-0.02820781,-0.0140039325
0,0.36981705,-0.033128932
1,-0.20429665,-0.46967185
0,0.007666368,-0.0067865103
0,-0.08058962,0.11771576
0,-0.0286585,0.15595546
0,0.043552373,-0.16040067
1,0.1131957,0.10859222
0,-0.14380819,0.033522084
1,0.2966263,-0.056357548
1,0.27468663,-0.2751972
1,0.5184696,0.0019116402
0,0.0900055,0.11495297
0,0.021081481,0.18950126
1,0.014298275,0.24649204
0,-0.07055274,0.054119006
1,-0.2915565,0.2538145
0,-0.23587342,0.2211115
1,-0.5206011,0.27809858
0,-0.099527046,-0.100567475
0,-0.015311591,-0.18828715
0,0.24146813,0.20804697
0,0.31679302,-0.08021821
1,-0.3031292,-0.18815322
0,-0.10089049,-0.04859291
0,0.18450218,-0.054437116
1,-0.018463057,0.39350402
0,-0.13136105,0.09374272
0,0.13816819,8.274615e-05
1,-0.10623324,0.20177568
1,0.13771257,-0.053407073
1,0.16866523,0.024399444
0,-0.19890007,-0.021701172
1,-0.1371394,-0.25184184
1,-0.06933972,0.7034777
0,0.29420698,-0.12802
0,-0.1353697,0.033007033
0,-0.12364453,0.11231178
1,0.057776798,0.060152084
0,0.24542028,0.0770634
0,0.29579443,0.0062930584
1,0.05897473,0.33991677
1,-0.11039364,-0.067351714
0,0.024567544,0.12985012
1,0.26226214,0.657792
1,-0.041340988,-0.020603716
1,0.06685364,0.07073644
0,0.33181024,-0.050575957
1,0.09239508,0.19747566
0,-0.030639218,0.15977342
0,0.040814597,0.2058912
1,0.13259879,0.07501384
